run_id,planning_time,voy_id,flow,area_no,size,planned_qty,status_name,objective_value
cbe79c980f13,2026-05-08T09:30:00,453400,OF,28,40,163,OPTIMAL,73649.57700583554
cbe79c980f13,2026-05-08T09:30:00,453400,OF,29,40,158,OPTIMAL,73649.57700583554
cbe79c980f13,2026-05-08T09:30:00,453400,OF,2A,40,167,OPTIMAL,73649.57700583554
cbe79c980f13,2026-05-08T09:30:00,453400,OF,33,40,1,OPTIMAL,73649.57700583554
cbe79c980f13,2026-05-08T09:30:00,453400,OF,38,40,35,OPTIMAL,73649.57700583554
cbe79c980f13,2026-05-08T09:30:00,453400,OF,39,40,167,OPTIMAL,73649.57700583554
cbe79c980f13,2026-05-08T09:30:00,453400,OF,41,40,2,OPTIMAL,73649.57700583554
cbe79c980f13,2026-05-08T09:30:00,453400,OF,49,40,167,OPTIMAL,73649.57700583554
cbe79c980f13,2026-05-08T09:30:00,453400,OF,4D,40,1,OPTIMAL,73649.57700583554
cbe79c980f13,2026-05-08T09:30:00,453400,OF,51,40,1,OPTIMAL,73649.57700583554
cbe79c980f13,2026-05-08T09:30:00,453400,OF,60,40,1,OPTIMAL,73649.57700583554
cbe79c980f13,2026-05-08T09:30:00,453400,OF,69,40,161,OPTIMAL,73649.57700583554
cbe79c980f13,2026-05-08T09:30:00,453400,OF,6C,40,52,OPTIMAL,73649.57700583554
cbe79c980f13,2026-05-08T09:30:00,453400,OF,70,40,1,OPTIMAL,73649.57700583554
cbe79c980f13,2026-05-08T09:30:00,453400,OF,73,40,1,OPTIMAL,73649.57700583554
cbe79c980f13,2026-05-08T09:30:00,453400,OF,75,40,1,OPTIMAL,73649.57700583554
cbe79c980f13,2026-05-08T09:30:00,453400,OF,82,40,1,OPTIMAL,73649.57700583554
cbe79c980f13,2026-05-08T09:30:00,453400,OF,83,40,1,OPTIMAL,73649.57700583554
cbe79c980f13,2026-05-08T09:30:00,453400,OF,86,40,1,OPTIMAL,73649.57700583554
cbe79c980f13,2026-05-08T09:30:00,453400,OF,8A,40,167,OPTIMAL,73649.57700583554
cbe79c980f13,2026-05-08T09:30:00,453400,OZ,10,40,14,OPTIMAL,73649.57700583554
cbe79c980f13,2026-05-08T09:30:00,453400,OZ,11,40,5,OPTIMAL,73649.57700583554
cbe79c980f13,2026-05-08T09:30:00,453400,OZ,12,40,2,OPTIMAL,73649.57700583554
cbe79c980f13,2026-05-08T09:30:00,453400,OZ,13,40,1,OPTIMAL,73649.57700583554
cbe79c980f13,2026-05-08T09:30:00,453400,OZ,14,40,3,OPTIMAL,73649.57700583554
cbe79c980f13,2026-05-08T09:30:00,453400,OZ,23,40,11,OPTIMAL,73649.57700583554
cbe79c980f13,2026-05-08T09:30:00,453400,OZ,24,40,1,OPTIMAL,73649.57700583554
cbe79c980f13,2026-05-08T09:30:00,453400,OZ,26,40,3,OPTIMAL,73649.57700583554
cbe79c980f13,2026-05-08T09:30:00,453400,OZ,30,40,1,OPTIMAL,73649.57700583554
cbe79c980f13,2026-05-08T09:30:00,453400,OZ,33,40,6,OPTIMAL,73649.57700583554
cbe79c980f13,2026-05-08T09:30:00,453400,OZ,41,40,1,OPTIMAL,73649.57700583554
cbe79c980f13,2026-05-08T09:30:00,453400,OZ,42,40,2,OPTIMAL,73649.57700583554
cbe79c980f13,2026-05-08T09:30:00,453400,OZ,43,40,6,OPTIMAL,73649.57700583554
cbe79c980f13,2026-05-08T09:30:00,453400,OZ,51,40,3,OPTIMAL,73649.57700583554
cbe79c980f13,2026-05-08T09:30:00,453400,OZ,54,40,1,OPTIMAL,73649.57700583554
cbe79c980f13,2026-05-08T09:30:00,453400,OZ,60,40,1,OPTIMAL,73649.57700583554
cbe79c980f13,2026-05-08T09:30:00,453400,OZ,61,40,6,OPTIMAL,73649.57700583554
cbe79c980f13,2026-05-08T09:30:00,453400,OZ,62,40,5,OPTIMAL,73649.57700583554
cbe79c980f13,2026-05-08T09:30:00,453400,OZ,63,40,5,OPTIMAL,73649.57700583554
