voyage_id,flow,area_no,planned_boxes,size_mode,plan_date
453416,T,14,8,40,
453416,T,15,1,20,
453416,T,15,1,40,
453416,T,16,1,20,
453416,T,16,8,40,
453416,T,17,16,40,
453416,T,22,5,40,
453416,T,23,2,40,
453416,T,24,9,20,
453416,T,24,3,40,
453416,T,26,12,40,
453416,T,27,2,40,
453416,T,32,5,20,
453416,T,32,1,40,
453416,T,33,1,40,
453416,T,37,6,40,
453416,T,42,1,20,
453416,T,42,1,40,
453416,T,43,7,40,
453416,T,45,2,20,
453416,T,45,1,40,
453416,T,46,2,20,
453416,T,46,2,40,
453416,T,52,1,40,
453416,T,53,8,20,
