area_no,work_type,has_position,voy_id,planned_qty
E1,OF/OZ/IF/IZ/T,1,453356,3
E1,OF/OZ/IF/IZ/T,1,453388,6
E1,OF/OZ/IF/IZ/T,1,453396,52
E1,OF/OZ/IF/IZ/T,1,453412,69
E1,OF/OZ/IF/IZ/T,1,453416,23
E1,OF/OZ/IF/IZ/T,1,454447,10
E1,OF/OZ/IF/IZ/T,1,454585,13
E2,OF/OZ/IF/IZ/T,1,453273,215
E2,OF/OZ/IF/IZ/T,1,453308,27
E2,OF/OZ/IF/IZ/T,1,453324,60
E2,OF/OZ/IF/IZ/T,1,453356,14
E2,OF/OZ/IF/IZ/T,1,453388,20
E2,OF/OZ/IF/IZ/T,1,453396,23
E2,OF/OZ/IF/IZ/T,1,453412,35
E2,OF/OZ/IF/IZ/T,1,453416,25
E2,OF/OZ/IF/IZ/T,1,454447,9
E2,OF/OZ/IF/IZ/T,1,454585,9
E3,OF/OZ/IF/IZ/T,1,453273,639
E3,OF/OZ/IF/IZ/T,1,453308,1
E3,OF/OZ/IF/IZ/T,1,453324,2
E3,OF/OZ/IF/IZ/T,1,453356,3
E3,OF/OZ/IF/IZ/T,1,453396,6
E3,OF/OZ/IF/IZ/T,1,453412,6
E3,OF/OZ/IF/IZ/T,1,453416,1
E3,OF/OZ/IF/IZ/T,1,454585,2
E4,OF/OZ/IF/IZ/T,1,453308,15
E4,OF/OZ/IF/IZ/T,1,453324,87
E4,OF/OZ/IF/IZ/T,1,453356,29
E4,OF/OZ/IF/IZ/T,1,453388,26
E4,OF/OZ/IF/IZ/T,1,453396,75
E4,OF/OZ/IF/IZ/T,1,453412,98
E4,OF/OZ/IF/IZ/T,1,453416,20
E4,OF/OZ/IF/IZ/T,1,454447,6
E4,OF/OZ/IF/IZ/T,1,454585,8
E5,OF/OZ/IF/IZ/T,1,453308,29
E5,OF/OZ/IF/IZ/T,1,453324,72
E5,OF/OZ/IF/IZ/T,1,453356,31
E5,OF/OZ/IF/IZ/T,1,453388,40
